"schema_name","table_name","column_name","foreign_schema_name","foreign_table_name","foreign_column_name"
"public","game_media","game_id","public","games","game_id"
"public","game_versions","game_id","public","games","game_id"
"public","tags","category_id","public","category_id","category_id"
"public","game_tags","game_id","public","games","game_id"
"public","game_tags","tag_id","public","tags","tag_id"
"public","price_history","game_id","public","games","game_id"
"review_system","review_replies","parent_id","review_system","review_replies","reply_id"
"review_system","review_replies","review_id","review_system","reviews","review_id"
